"Data Source","World Development Indicators",

"Last Updated Date","2025-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Bulgaria","BGR","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.5","4.9","3.5","3","4.6","5.1","5.5","5","3.9","6.1","4.8","3.5","2.3","2.8","1.4","2","","",
"Bahrain","BHR","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.1","","","0.7","","","0.4","","","","0.8","","","","","","","","","","","","",
"Belarus","BLR","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.7","51.1","43.3","28.1","22.3","18.8","10.6","6","3.5","2.7","1.7","1.8","0.9","0.6","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0","0.1","","","",
"Belize","BLZ","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.8","33.1","","41.5","43.1","42.8","39.1","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.1","","26.3","","","","","26.1","","32","35.4","29.8","31.6","","21.1","25.7","22.2","18.6","15.1","14.1","","10.4","11","9.3","9","8.6","10.1","9.2","7.7","5.7","6.4","5.4","","",
"Brazil","BRA","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","42.9","43","50.9","50.1","45.2","26.1","36.5","39.3","36.4","41.6","","40.7","39.7","","29.7","30","30.2","28.9","29.9","","26.2","25.3","26.1","24.4","22.3","19.4","18","15.7","14.6","","12","10.6","9.5","8.6","9.3","10.6","11","10.9","10.8","5.3","11.3","8.4","",
"Barbados","BRB","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.6","","","","26.6","","","","","11.9","","","","","9.4","","","","","0.5","",
"Botswana","BWA","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","63.3","","","","","","","","55.5","","","","","","","","","49.6","","","","","","","36.7","","","","","","38","","","","","","","","",
"Central African Republic","CAF","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.1","","","","","","","","","","","","","","","","80.8","","","","","","","","","","","","","85.8","","",
"Canada","CAN","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","3","","2","","2","","1.7","","1.5","","1","1","","1","1","1.2","0.7","0.7","1.2","1.2","1.2","1","1.2","1","1","0.5","0.5","0.7","0.5","0.5","0.5","0.5","0.5","0.2","0.5","0.5","0.2","0.2","0.2","0.2","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","","","","",
"Central Europe and the Baltics","CEB","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","0.7","","","","","","","","","","0.7","","","","","","","","0.2","","0","","0.2","","0.2","0.1","0.1","0.1","0.1","0","0","0","0","0","0.1","0","0","0","0.1","","","",
"Channel Islands","CHI","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.8","","","28.1","","21.6","","20.2","","16.2","","14.9","","16","","","15.3","","","7.6","","","5.5","","3.9","","2","","1.5","","1","","","2.7","","0.9","",
"China","CHN","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.7","","","88.1","","","78.1","","","73.3","","","62.6","","","49.1","","","40.1","","33.5","28.3","24.3","15.8","12.9","9.9","7.8","6.9","4.9","2.5","1","0","","",
"Cote d'Ivoire","CIV","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","23.9","23.8","32.1","41.3","","","","55.4","","","55.9","","","64.5","","","","63.5","","","","","","62.9","","","","","","","63.2","","","39.7","","","38.4","","",
"Cameroon","CMR","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.4","","","","","55.8","","","","","","58.5","","","","","","","47","","","","","","","46.7","","",
"Congo, Dem. Rep.","COD","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.6","","","","","","","","87.7","","","","","","","","92.1","","","",
"Congo, Rep.","COG","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.8","","","","","","59.1","","","","","","","","","","","","",
"Colombia","COL","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","37.1","","","","","","","","29.5","29.9","","27.3","23.9","","","","34.2","","","38.2","33.2","39.5","30.9","29.3","28.8","25.6","","","24.1","22.2","20","17.9","16.8","15.3","14.3","13","12.9","12.1","12.2","13.7","19.3","16.4","14","",
"Comoros","COM","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.3","","","","","","","","","","39.5","","","","","","","","","",
"Cabo Verde","CPV","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.1","","","","","","30.7","","","","","","","","19.3","","","","","","","","",
"Costa Rica","CRI","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","44.4","","","","","28.6","","","21.5","20.8","24.5","21.2","17.4","14.7","15.3","17.6","15.1","11.9","14","14.8","11.5","10.5","10.5","9.8","8.5","8.2","5.9","5.7","6.1","4.1","4.8","4.4","4.3","4.3","4.4","4.1","3.1","4","3.5","6","3.7","3.3","3",
"Caribbean small states","CSS","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0.1","0","0","0","0.1","0.1","0","0","0.2","0.2","0.1","0.1","0.1","0.1","0.2","0.1","0.1","","",
"Czechia","CZE","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","0.2","","","","","","0","","0","0.1","0.1","0.2","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0","0.1","0.1","0","0","0","0.1","","",
"Germany","DEU","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.2","0","0.2","0.2","0.2","0.2","0","0.2","0.2","0.2","0","0.2","0","0.2","0","0","0.2","0","0.2","0","0","0","0.2","0","0.2","0.2","0.2","0.2","0.2","","","",
"Djibouti","DJI","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.6","","","","","","","","","","42.2","47.8","","","","43.8","","","","","","",
"Dominica","DMA","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7","","","","","0.7","","","0.2","","","","","0","","","0.4","0.3","0.3","0.2","0.3","0.4","0.6","0.1","0","0","0.3","0.2","0.3","0.3","0.2","0.2","0.3","0.2","0.2","","",
"Dominican Republic","DOM","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","16.9","","","37","","","23.2","","","","17.6","16.2","","","16.1","16.1","17.7","21.8","27.9","21.4","18.6","18.1","18.6","16.8","16.7","13.7","14.3","13.7","10.9","8.8","8","5.4","4.2","3.5","5.2","4.3","4","",
"Algeria","DZA","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.2","","","","","","","24.2","","","","","","","","","","","","","","","","4.3","","","","","","","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","93.7","93.3","92.7","91.8","91","90.2","88.8","86.7","88","87.3","86.4","84.9","83.2","80.3","77.3","74.1","72.9","72.6","70.5","67.8","64.8","60.7","57","53.5","49.1","47","43.4","41","38.1","34.2","30","26.6","20.5","18","15.1","12.8","10.9","9.3","7.2","6.4","5.8","5.4","",
"Europe & Central Asia (excluding high income)","ECA","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia","ECS","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.7","13","15.4","17.8","21.7","19.6","20.7","18.6","19.3","24.7","21.4","19.2","17","16.1","13.4","12.3","9.9","7.8","5.9","5.2","4.8","4.2","3.8","3.3","3.5","3.2","2.7","2.7","2.1","2","2.1","1.9","1.7","",
"Ecuador","ECU","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.7","","","","","","","35","32.7","","","35.9","40.5","50.2","","","30.7","32.4","25.5","20.1","19.6","18.5","17.7","15.1","12.3","11.7","10.2","8.7","9.5","9.5","8.9","9.7","9.9","14.4","10.9","9.5","10.3",
"Egypt, Arab Rep.","EGY","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.9","","","","","33.9","","","","21.2","","","","","28.1","","","","26","","17.8","","13.7","","","13.2","","22","","17.6","","","","",
"Euro area","EMU","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","1.7","","","","","1.2","","","","","0.7","","","2","2","2","1.7","1.5","1.2","1","1.1","","","1.2","1.3","1.1","1.1","0.7","0.9","1.1","1.1","1.6","1.5","1.7","1.5","1.5","1.7","1.1","1.2","1.1","1.4","0.9","","",
"Estonia","EST","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.5","3.2","1.9","1.4","0.9","0.9","1.2","1.8","1.6","1.5","1.6","1.4","0.9","0.7","0.6","0.5","0.9","0.5","0.4","","",
"Ethiopia","ETH","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.9","","","","89.5","","","","","77","","","","","","71.3","","","","","65","","","","","","","","",
"European Union","EUU","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fragile and conflict affected situations","FCS","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66","67.5","68.2","68.1","67.7","67.3","69","","65.7","65.5","65.1","62.6","60.9","59.8","58.8","58.1","57.5","56.3","56","55.7","55.2","54.6","56.6","56.5","55.9","55.5","","","","","",
"Finland","FIN","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","0","","","","0","","","","","0","","","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0","0","","",
"Fiji","FJI","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.8","","","","","","9.4","","","","","6","","","","","","12.4","","","","",
"France","FRA","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","0.2","","","","","0.7","","","","0.5","","","","","0.5","","","","","","0.2","","","","","","0.2","0.2","0.2","0.2","0.2","0.2","0","0.2","0.1","0.1","0.1","0","0","0.1","0.1","0.1","0.1","0.1","0","0.2","0.1","0","0.1","0.1","0.2","0.2","","",
"Faroe Islands","FRO","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.1","","","","","","","","40.8","","","","","","","","","","",
"Gabon","GAB","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","","","","","","","","","","","","8.1","","","","","","",
"United Kingdom","GBR","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","0.2","0.2","0.2","0.2","0.5","0","0.2","0.2","0.2","0.2","0","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.5","0.5","0.2","0.2","0.2","0.2","0.2","0.5","0.5","0.2","0.2","0.5","0.2","0.5","0.5","0.5","0.5","0.5","0.5","0.2","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","","",
"Georgia","GEO","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.9","40.7","39.4","47.1","49.6","52.4","35.5","35.9","32.7","35.2","35.6","37.8","34.1","34.3","35.7","33.3","29.6","25.3","22","20","20.1","20.1","19.6","18.5","21.4","19.1","15","",
"Ghana","GHA","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","86","85.3","","","87","","","","","","","78.7","","","","","","","70.1","","","","","","","51.9","","","","48.8","","","","","","","",
"Gibraltar","GIB","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.9","","","67","","","","","","","","78.9","","","","","74.8","","","","","59.7","","","","","","46.6","","","","","",
"Gambia, The","GMB","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.5","","","","","73.5","","","","","","","59.5","","","","","44.6","","","","","47","","","",
"Guinea-Bissau","GNB","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.5","","69.5","","","","","","","","","82.6","","","","","","","","84.5","","","","","","","","56.8","","","60.2","","",
"Equatorial Guinea","GNQ","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greece","GRC","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.2","","","","","1","","","0.7","1","0.5","0.9","0.7","0.5","0.7","1.3","2","2.8","2.6","2.9","2.8","2","1.6","0.3","1.3","1.6","1.1","","",
