Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01703","Chick peas, dry","2010","2010","ha","25525","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01703","Chick peas, dry","2010","2010","kg/ha","919.6","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01703","Chick peas, dry","2010","2010","t","23474","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01703","Chick peas, dry","2011","2011","ha","27734","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01703","Chick peas, dry","2011","2011","kg/ha","867.2","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01703","Chick peas, dry","2011","2011","t","24051","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01703","Chick peas, dry","2012","2012","ha","30562","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01703","Chick peas, dry","2012","2012","kg/ha","905.5","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01703","Chick peas, dry","2012","2012","t","27675","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01703","Chick peas, dry","2013","2013","ha","29320","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01703","Chick peas, dry","2013","2013","kg/ha","1193","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01703","Chick peas, dry","2013","2013","t","34980","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01703","Chick peas, dry","2014","2014","ha","33295","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01703","Chick peas, dry","2014","2014","kg/ha","1054.8","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01703","Chick peas, dry","2014","2014","t","35118","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01703","Chick peas, dry","2015","2015","ha","25497","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01703","Chick peas, dry","2015","2015","kg/ha","976.7","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01703","Chick peas, dry","2015","2015","t","24903","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01703","Chick peas, dry","2016","2016","ha","22961","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01703","Chick peas, dry","2016","2016","kg/ha","939.5","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01703","Chick peas, dry","2016","2016","t","21572","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01703","Chick peas, dry","2017","2017","ha","28571","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01703","Chick peas, dry","2017","2017","kg/ha","1028","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01703","Chick peas, dry","2017","2017","t","29371.12","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01703","Chick peas, dry","2018","2018","ha","32065","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01703","Chick peas, dry","2018","2018","kg/ha","1193.6","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01703","Chick peas, dry","2018","2018","t","38273.59","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01703","Chick peas, dry","2019","2019","ha","36206","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01703","Chick peas, dry","2019","2019","kg/ha","1115","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01703","Chick peas, dry","2019","2019","t","40369","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01703","Chick peas, dry","2020","2020","ha","36743","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01703","Chick peas, dry","2020","2020","kg/ha","1085.6","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01703","Chick peas, dry","2020","2020","t","39888.9","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01703","Chick peas, dry","2021","2021","ha","36520","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01703","Chick peas, dry","2021","2021","kg/ha","1062.9","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01703","Chick peas, dry","2021","2021","t","38818","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01703","Chick peas, dry","2022","2022","ha","34584","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01703","Chick peas, dry","2022","2022","kg/ha","1115.5","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01703","Chick peas, dry","2022","2022","t","38576.89","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01703","Chick peas, dry","2023","2023","ha","34067","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01703","Chick peas, dry","2023","2023","kg/ha","1173.3","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01703","Chick peas, dry","2023","2023","t","39969.67","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01314","Dates","2000","2000","ha","101820","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01314","Dates","2000","2000","kg/ha","3590.8","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01314","Dates","2000","2000","t","365616","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01314","Dates","2001","2001","ha","104390","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01314","Dates","2001","2001","kg/ha","4189.4","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01314","Dates","2001","2001","t","437332","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01314","Dates","2002","2002","ha","120830","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01314","Dates","2002","2002","kg/ha","3462.9","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01314","Dates","2002","2002","t","418427","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01314","Dates","2003","2003","ha","128800","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01314","Dates","2003","2003","kg/ha","3821.6","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01314","Dates","2003","2003","t","492217","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01314","Dates","2004","2004","ha","136774","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01314","Dates","2004","2004","kg/ha","3236","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01314","Dates","2004","2004","t","442600","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01314","Dates","2005","2005","ha","147906","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01314","Dates","2005","2005","kg/ha","3490.7","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01314","Dates","2005","2005","t","516293","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01314","Dates","2006","2006","ha","154372","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01314","Dates","2006","2006","kg/ha","3188.3","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01314","Dates","2006","2006","t","492188","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01314","Dates","2007","2007","ha","159871","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01314","Dates","2007","2007","kg/ha","3295.9","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01314","Dates","2007","2007","t","526921","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01314","Dates","2008","2008","ha","162033","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01314","Dates","2008","2008","kg/ha","3411.4","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01314","Dates","2008","2008","t","552765","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01314","Dates","2009","2009","ha","160867","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01314","Dates","2009","2009","kg/ha","3734.1","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01314","Dates","2009","2009","t","600696","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01314","Dates","2010","2010","ha","161091","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01314","Dates","2010","2010","kg/ha","4002.3","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01314","Dates","2010","2010","t","644741","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01314","Dates","2011","2011","ha","162134","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01314","Dates","2011","2011","kg/ha","4471","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01314","Dates","2011","2011","t","724894","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01314","Dates","2012","2012","ha","163985","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01314","Dates","2012","2012","kg/ha","4813.6","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01314","Dates","2012","2012","t","789357","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01314","Dates","2013","2013","ha","164695","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01314","Dates","2013","2013","kg/ha","5150.1","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01314","Dates","2013","2013","t","848199","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01314","Dates","2014","2014","ha","165378","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01314","Dates","2014","2014","kg/ha","5649.9","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01314","Dates","2014","2014","t","934377.2","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01314","Dates","2015","2015","ha","166893","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01314","Dates","2015","2015","kg/ha","5934.2","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01314","Dates","2015","2015","t","990377","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01314","Dates","2016","2016","ha","167279","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01314","Dates","2016","2016","kg/ha","6155","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01314","Dates","2016","2016","t","1029595.66","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01314","Dates","2017","2017","ha","167643","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01314","Dates","2017","2017","kg/ha","6314.3","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01314","Dates","2017","2017","t","1058558.69","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01314","Dates","2018","2018","ha","168855","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01314","Dates","2018","2018","kg/ha","6483.1","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01314","Dates","2018","2018","t","1094700.01","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01314","Dates","2019","2019","ha","169786","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01314","Dates","2019","2019","kg/ha","6690.9","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01314","Dates","2019","2019","t","1136025","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01314","Dates","2020","2020","ha","170500","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01314","Dates","2020","2020","kg/ha","6756.1","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01314","Dates","2020","2020","t","1151909.3","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01314","Dates","2021","2021","ha","172033","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01314","Dates","2021","2021","kg/ha","6910.3","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01314","Dates","2021","2021","t","1188803","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01314","Dates","2022","2022","ha","175454","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01314","Dates","2022","2022","kg/ha","7092.9","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01314","Dates","2022","2022","t","1244466.87","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01314","Dates","2023","2023","ha","179150","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01314","Dates","2023","2023","kg/ha","7394.7","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01314","Dates","2023","2023","t","1324767.01","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01322","Lemons and limes","2000","2000","ha","2690","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01322","Lemons and limes","2000","2000","kg/ha","10885.1","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01322","Lemons and limes","2000","2000","t","29281","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01322","Lemons and limes","2001","2001","ha","2720","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01322","Lemons and limes","2001","2001","kg/ha","11633.8","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01322","Lemons and limes","2001","2001","t","31644","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01322","Lemons and limes","2002","2002","ha","2820","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01322","Lemons and limes","2002","2002","kg/ha","13817.7","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01322","Lemons and limes","2002","2002","t","38966","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01322","Lemons and limes","2003","2003","ha","2900","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01322","Lemons and limes","2003","2003","kg/ha","13850.7","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01322","Lemons and limes","2003","2003","t","40167","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01322","Lemons and limes","2004","2004","ha","3054","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01322","Lemons and limes","2004","2004","kg/ha","15035.7","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01322","Lemons and limes","2004","2004","t","45919","A","Official figure",""
